001,Dom,02,17-09-2026 07:30:00,,0
002,John,02,17-09-2026 07:45:00,17-09-2026 09:15:00,15
003,Sarah,01,17-09-2026 08:00:00,,0
004,Mike,02,17-09-2026 08:30:00,,0
005,Lisa,03,17-09-2026 08:45:00,17-09-2026 10:00:00,12
006,James,02,17-09-2026 09:00:00,,0
007,dom,02,18-09-2026 08:34:20,18-09-2026 15:47:33,80.0
008,dom,03,22-09-2026 19:19:07,22-09-2026 19:19:23,12.0
009,dom,03,22-09-2026 08:19:39,22-09-2026 19:20:18,60
010,dom,02,22-09-2026 17:21:11,22-09-2026 19:25:03,30.0
011,dom,01,23-09-2026 16:11:05,23-09-2026 16:11:13,15
